id,name,description,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,number_of_reviews,nearby_places_count
9025900,Downtown Central & Modern - Bedroom 1,"A clean, renovated charming, little bedroom in a shared apartment with low ceilings. Comfortable, breathing the city charming spirit, in the very birthplace of Fado!<br />It easily accommodates 2 people in a double sized bed. It sits centrally in a multicultural street, only 1 minute walk from the Subway.<br />Check-in starts at 15:00 and check-out at 11:00.<br />We follow the WHO sanitary guidelines and Airbnb's Good Hosting policy towards safety and property security.",Santa Maria Maior,38.7160927,-9.1333229,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Toaster"", ""Hot water"", ""Extra pillows and blankets"", ""Portable heater"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Room-darkening shades"", ""Portable fans"", ""Kitchen"", ""Hot water kettle"", ""Trash compactor"", ""Dishes and silverware"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Books and reading material"", ""Coffee"", ""First aid kit"", ""Lockbox"", ""Shampoo"", ""Noise decibel monitors on property"", ""Microwave"", ""Luggage dropoff allowed"", ""Body soap"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Freezer"", ""Laundromat nearby"", ""Beach essentials"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Shared gym nearby"", ""Stainless steel electric stove"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""HDTV with Netflix, standard cable"", ""Ethernet connection"", ""Drying rack for clothing"", ""Shower gel"", ""Game console"", ""Iron"", ""Self check-in"", ""Free street parking"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""Cooking basics"", ""Clothing storage"", ""Single level home"", ""Cleaning products""]",$69.00,2026-04-12,2026-04-13,69.0,69.0,4.6,4.69,4.55,4.65,781,2246
766765,Chiado Loft 8 Terrace Lisbon Loft,"This last floor (3rd floor with no elevator) provides an excellent base from which to explore Lisbon. Very centrally located in Santa Catarina, next to Chiado. It is close to everything  but at the same time a quiet spot!  The very complete renovation the apartment went through",Misericrdia,38.71146,-9.1469,Entire rental unit,Entire home/apt,4,1 bath,0.0,3.0,"[""Hot water"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Dryer"", ""Dishwasher"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""First aid kit"", ""TV with standard cable"", ""Shampoo"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Pocket wifi"", ""Heating"", ""Shower gel"", ""Patio or balcony"", ""Iron"", ""Air conditioning"", ""Cooking basics""]",$150.00,2026-04-12,2026-04-13,150.0,150.0,4.87,4.95,4.92,4.8,779,2510
2982207,Loft old quarter of Lisbon - ALFAMA,"You will find a open cozy loft of 35m2 located in a quite are of Alfama neighbourhood, the oldest of Lisbon.  Very well located you will be near from  town center of Lisbon (15min walking), nearby the  Train Central Station of Santa Apolónia with all kind of transports. <br />Alfama, located near by the Tagus River, has very old tradition, many restaurants, Museums, Fado song, and many other activities, like rental bikes, tuk tuk,",Santa Maria Maior,38.71257,-9.12577,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,"[""Toaster"", ""Hot water"", ""Extra pillows and blankets"", ""Portable heater"", ""Hair dryer"", ""Fast wifi \u2013 411 Mbps"", ""Room-darkening shades"", ""Portable fans"", ""Hot water kettle"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Blender"", ""Dining table"", ""Fire extinguisher"", ""Books and reading material"", ""Coffee"", ""First aid kit"", ""Ceiling fan"", ""HDTV with standard cable"", ""Private entrance"", ""Lockbox"", ""Shampoo"", ""Microwave"", ""Luggage dropoff allowed"", ""Kitchenette"", ""Other stainless steel electric stove"", ""Body soap"", ""Smoke alarm"", ""Freezer"", ""Essentials"", ""Laundromat nearby"", ""Paid street parking off premises"", ""City skyline view"", ""Hangers"", ""Dedicated workspace"", ""Wine glasses"", ""Clothing storage: walk-in closet and dresser"", ""Free washer \u2013 In unit"", ""Cleaning available during stay"", ""Self check-in"", ""Shower gel"", ""Iron"", ""Ikea refrigerator"", ""Coffee maker: espresso machine, french press"", ""Long term stays allowed"", ""Cooking basics"", ""Cleaning products""]",$117.50,2026-04-05,2026-04-07,235.0,117.5,4.88,4.94,4.87,4.82,779,1638
3402592,"Chiado ""Loft"" 5 ""THE STUDIO""","This studio apartment (4th floor with no elevator) was designed in such a way, that although the different areas are very well divided, the apartment does not feel cramped or small. It boasts a lounge, a dinning area, a Kitchenette and a bedroom area with bathroom.",Misericrdia,38.71133,-9.14586,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,"[""Hot water"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Dryer"", ""Dishwasher"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""First aid kit"", ""TV with standard cable"", ""Shampoo"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Shower gel"", ""Iron"", ""Air conditioning"", ""Cooking basics""]",$192.00,2026-04-14,2026-04-16,384.0,192.0,4.89,4.94,4.89,4.86,774,2483
3253223,Cozy River View Alfama Apartment,"Come enjoy Lisbon unique atmosphere starting  with our relaxing view of the Tagus river. The studio is located in the historical district of Alfama, and it is easily connected to the city life and main attractions.",Santa Maria Maior,38.71112,-9.13107,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,"[""Toaster"", ""Hot water"", ""Portable heater"", ""Hair dryer"", ""Wifi"", ""Clothing storage: wardrobe"", ""Portable fans"", ""Kitchen"", ""Hot water kettle"", ""Dishes and silverware"", ""River view"", ""Valley view"", ""Carbon monoxide alarm"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker"", ""Other induction stove"", ""Coffee"", ""First aid kit"", ""HDTV with premium cable, standard cable"", ""Lockbox"", ""Shampoo"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Freezer"", ""Laundromat nearby"", ""City skyline view"", ""Hangers"", ""Dedicated workspace"", ""Wine glasses"", ""Paid parking off premises"", ""Drying rack for clothing"", ""Shower gel"", ""Self check-in"", ""Iron"", ""Long term stays allowed"", ""Cooking basics"", ""Single level home"", ""Cleaning products""]",$90.00,2026-03-30,2026-03-31,90.0,90.0,4.75,4.81,4.85,4.67,774,1915
474818,"CASTELO, ALFAMA - CASA MENINO DEUS    ( 53816/AL )",,Santa Maria Maior,38.71284,-9.13085,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,"[""Hot water"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Bed linens"", ""Fire extinguisher"", ""Host greets you"", ""First aid kit"", ""Microwave"", ""Refrigerator"", ""Essentials"", ""Children\u2019s books and toys"", ""Hangers"", ""Coffee maker"", ""Crib"", ""Heating"", ""Iron"", ""Cooking basics"", ""Free washer \u2013 In building""]",$147.00,2026-04-12,2026-04-13,147.0,147.0,4.77,4.71,4.93,4.77,770,1978
1056297,Chiado Studio III Amazing Place,,Santa Maria Maior,38.71067,-9.14151,Entire rental unit,Entire home/apt,2,1 bath,,,"[""Hot water"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Dishwasher"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""First aid kit"", ""TV with standard cable"", ""Shampoo"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Shower gel"", ""Patio or balcony"", ""Iron"", ""Air conditioning"", ""Cooking basics""]",,,,,,4.96,4.96,4.99,4.91,768,2328
983797720777244428,SATURdAYS - Dbl Room w/ balcony & shared bathroom,Double room with balcony and shared bathroom. <br /><br />The room is located inside SATURdAYS Guest House. <br /><br />The bathrooms are shared by guests and there is a communal kitchen for guests to use.<br /><br />Check-in is done automatically. Instructions and codes will be sent by email after booking confirmation,Santo Antnio,38.72307839787288,-9.14696660257574,Private room in guesthouse,Private room,2,0 shared baths,1.0,1.0,"[""Exterior security cameras on property"", ""Self check-in"", ""Wifi"", ""Kitchen"", ""Lockbox""]",$48.00,2026-03-29,2026-03-30,48.0,48.0,4.63,4.76,4.72,4.65,767,2872
16334452,Cosy! 10 minutes Airport and Center,"the ideal place to spend your holidays or business travels.<br />the comfort of the apartment, the silence of the neighborhood and the proximity to the center of the city , are very apreciate by the guests.<br />near the center, with a train and metro station on the doorstep, that will take you 10 min. to the center of the city.<br />you can even take the train directly to the beaches or to the beautiful town of Sintra, in 30 min..<br />very near the airport, 10 min by underground, 5 min by car.",Areeiro,38.74434,-9.13522,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,"[""Hot water"", ""Extra pillows and blankets"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Washer"", ""First aid kit"", ""TV with standard cable"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Crib"", ""Self check-in"", ""Patio or balcony"", ""Iron"", ""Long term stays allowed"", ""Keypad"", ""Cooking basics""]",$132.00,2026-04-26,2026-04-27,132.0,132.0,4.8,4.89,4.65,4.73,760,961
720167,TILES APARTMENT - BY MAYORAL,"The concept for this apartment was inspired by the glorious 18th century tiles “azulejos“ in the living room. By using simple yet refined materials, we tailored the predominantly white decor into this context.",Santa Maria Maior,38.71089,-9.13044,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Toaster"", ""Harbor view"", ""Hot water"", ""Extra pillows and blankets"", ""Portable heater"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Room-darkening shades"", ""Portable fans"", ""Kitchen"", ""Bidet"", ""Hot water kettle"", ""Dishes and silverware"", ""River view"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Books and reading material"", ""First aid kit"", ""HDTV with standard cable"", ""Private entrance"", ""Coffee maker: espresso machine"", ""Lockbox"", ""Shampoo"", ""Microwave"", ""Body soap"", ""Refrigerator"", ""Freezer"", ""Essentials"", ""Laundromat nearby"", ""Crib - available upon request"", ""Hangers"", ""Electric stove"", ""Wine glasses"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""Clothing storage: closet and dresser"", ""Ethernet connection"", ""Drying rack for clothing"", ""Self check-in"", ""Iron"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""Pack \u2019n play/Travel crib - available upon request"", ""Cooking basics"", ""Cleaning products""]",$92.00,2026-04-02,2026-04-03,92.0,92.0,4.68,4.54,4.88,4.69,752,1869
